2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8301,George Town,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,455,-12.62
TAS,192,Bass,8301,George Town,999,Informal,Informal,999,N,N,,Informal,137,2.59
TAS,192,Bass,8302,George Town South,36070,RAZAY,George,1,N,N,IND,Independent,20,2.06
TAS,192,Bass,8302,George Town South,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,40,4.12
TAS,192,Bass,8302,George Town South,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,43,0.58
TAS,192,Bass,8302,George Town South,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,462,7.52
TAS,192,Bass,8302,George Town South,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,10,-0.08
TAS,192,Bass,8302,George Town South,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,7,0.72
TAS,192,Bass,8302,George Town South,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,20,-2.74
TAS,192,Bass,8302,George Town South,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,47,4.84
TAS,192,Bass,8302,George Town South,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,322,-10.5
TAS,192,Bass,8302,George Town South,999,Informal,Informal,999,N,N,,Informal,85,2.99
TAS,192,Bass,8303,Gladstone,36070,RAZAY,George,1,N,N,IND,Independent,6,4.08
TAS,192,Bass,8303,Gladstone,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,17,11.56
TAS,192,Bass,8303,Gladstone,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,13,0.03
TAS,192,Bass,8303,Gladstone,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,64,-6.05
TAS,192,Bass,8303,Gladstone,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,2,-1.04
TAS,192,Bass,8303,Gladstone,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,1,0.68
TAS,192,Bass,8303,Gladstone,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,3,-3.56
TAS,192,Bass,8303,Gladstone,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,7,4.76
TAS,192,Bass,8303,Gladstone,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,34,-5.69
TAS,192,Bass,8303,Gladstone,999,Informal,Informal,999,N,N,,Informal,24,2.09
TAS,192,Bass,8599,Glengarry,36070,RAZAY,George,1,N,N,IND,Independent,13,4.91
TAS,192,Bass,8599,Glengarry,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,24,9.06
TAS,192,Bass,8599,Glengarry,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,27,-0.28
TAS,192,Bass,8599,Glengarry,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,108,-6.61
TAS,192,Bass,8599,Glengarry,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,2,-2.03
TAS,192,Bass,8599,Glengarry,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,7,2.64
TAS,192,Bass,8599,Glengarry,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,4,-5.76
TAS,192,Bass,8599,Glengarry,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,17,6.42
