2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NSW [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:02 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,65,Carlton West,37388,KHOUW,Steve,5,N,N,NAFD,,12,0.98
NSW,103,Banks,65,Carlton West,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,63,5.16
NSW,103,Banks,65,Carlton West,36774,SOON,Zhi,7,N,N,ALP,Labor,420,-4.69
NSW,103,Banks,65,Carlton West,999,Informal,Informal,999,N,N,,Informal,101,-2.02
NSW,103,Banks,108389,Central Sydney (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,3,-24.24
NSW,103,Banks,108389,Central Sydney (Banks),36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,0,0
NSW,103,Banks,108389,Central Sydney (Banks),36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,1,2.61
NSW,103,Banks,108389,Central Sydney (Banks),36330,HANNA,Natalie,4,N,N,GRN,The Greens,7,30.83
NSW,103,Banks,108389,Central Sydney (Banks),37388,KHOUW,Steve,5,N,N,NAFD,,0,0
NSW,103,Banks,108389,Central Sydney (Banks),37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,0,0
NSW,103,Banks,108389,Central Sydney (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,6,-2.89
NSW,103,Banks,108389,Central Sydney (Banks),999,Informal,Informal,999,N,N,,Informal,1,-1.8
NSW,103,Banks,97644,Central Sydney BANKS PPVC,37018,COLEMAN,David,1,Y,Y,LP,Liberal,78,-5.9
