StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,TotalVotes,Progressive,Conservative,Other,Leaning
ACT,101,Canberra,58708,City CANBERRA PPVC,8294,0.7290812635640221,0.18374728719556305,0.08717144924041476,-0.545333976368459
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,7963,0.6587969358282054,0.2348361170413161,0.10636694713047846,-0.4239608187868893
ACT,101,Canberra,65504,EAV Canberra PPVC,24,0.5833333333333334,0.20833333333333334,0.20833333333333334,-0.375
ACT,101,Canberra,65741,Parkes (Canberra),2485,0.8128772635814889,0.1271629778672032,0.05995975855130785,-0.6857142857142857
ACT,101,Canberra,65742,Parkes CANBERRA PPVC,6481,0.6793704675204444,0.24039500077148587,0.08023453170806974,-0.4389754667489585
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,5251,0.6882498571700628,0.20586554941915824,0.1058845934107789,-0.4823843077509046
ACT,101,Canberra,82525,Downer,1244,0.7692926045016077,0.1229903536977492,0.10771704180064309,-0.6463022508038585
ACT,101,Canberra,83849,Bruce (Canberra),840,0.6916666666666667,0.2130952380952381,0.09523809523809523,-0.47857142857142854
ACT,101,Canberra,83852,Dickson East,1000,0.733,0.164,0.103,-0.569
ACT,101,Canberra,83856,Lyneham East,960,0.7916666666666666,0.11458333333333333,0.09375,-0.6770833333333333
ACT,101,Canberra,93960,Tuggeranong CANBERRA PPVC,512,0.626953125,0.234375,0.138671875,-0.392578125
ACT,101,Canberra,93961,Woden CANBERRA PPVC,4734,0.6013941698352345,0.2925644275454161,0.10604140261934938,-0.3088297422898184
ACT,101,Canberra,93968,Belconnen (Canberra),575,0.6904347826086956,0.19826086956521738,0.11130434782608696,-0.49217391304347824
ACT,101,Canberra,93976,Page (Canberra),384,0.5885416666666666,0.2708333333333333,0.140625,-0.3177083333333333
ACT,101,Canberra,98053,Campbell North,940,0.725531914893617,0.1819148936170213,0.0925531914893617,-0.5436170212765957
ACT,101,Canberra,98054,Queanbeyan CANBERRA PPVC,227,0.5550660792951542,0.28193832599118945,0.16299559471365638,-0.2731277533039647
ACT,101,Canberra,98055,Narrabundah South,736,0.65625,0.21875,0.125,-0.4375
ACT,101,Canberra,108470,Special Hospital Team 1,65,0.47692307692307695,0.35384615384615387,0.16923076923076924,-0.12307692307692308
ACT,101,Canberra,108524,EAV COVID19 Canberra PPVC,525,0.7390476190476191,0.15047619047619049,0.11047619047619048,-0.5885714285714285
ACT,102,Fenner,8805,Belconnen (Fenner),1696,0.7163915094339622,0.16804245283018868,0.11556603773584906,-0.5483490566037735
ACT,102,Fenner,8807,Charnwood,1722,0.6051103368176539,0.24738675958188153,0.14750290360046459,-0.3577235772357724
ACT,102,Fenner,8812,Evatt,1942,0.6585993820803295,0.22657054582904224,0.11483007209062822,-0.4320288362512873
ACT,102,Fenner,8814,Florey,1216,0.6661184210526315,0.2294407894736842,0.10444078947368421,-0.43667763157894735
ACT,102,Fenner,8821,Holt,1955,0.6358056265984655,0.23017902813299232,0.1340153452685422,-0.4056265984654732
ACT,102,Fenner,8825,Latham,1382,0.6714905933429812,0.2076700434153401,0.12083936324167872,-0.4638205499276411
ACT,102,Fenner,8827,Macgregor,1915,0.6929503916449086,0.21148825065274152,0.09556135770234987,-0.48146214099216705
ACT,102,Fenner,8830,Melba,1647,0.7000607164541591,0.20461445051608987,0.09532483302975106,-0.4954462659380693
ACT,102,Fenner,8832,Page (Fenner),1013,0.6771964461994077,0.2073050345508391,0.11549851924975321,-0.46989141164856857
ACT,102,Fenner,8834,Scullin,998,0.7675350701402806,0.15531062124248496,0.07715430861723446,-0.6122244488977956
ACT,102,Fenner,31626,Palmerston,2548,0.6357927786499215,0.26805337519623235,0.09615384615384616,-0.3677394034536891
ACT,102,Fenner,32081,Nicholls,2396,0.6010016694490818,0.3071786310517529,0.09181969949916527,-0.29382303839732893
ACT,102,Fenner,32463,Ngunnawal,2189,0.6756509821836455,0.21608040201005024,0.10826861580630424,-0.45957058017359526
ACT,102,Fenner,32464,Belconnen FENNER PPVC,16379,0.640393186397216,0.26546187190915194,0.09414494169363209,-0.37493131448806405
ACT,102,Fenner,32465,City FENNER PPVC,2611,0.6828801225584067,0.23745691306013023,0.07966296438146304,-0.44542320949827646
ACT,102,Fenner,34238,Fraser Central,2005,0.629426433915212,0.257356608478803,0.11321695760598503,-0.37206982543640904
ACT,102,Fenner,34240,Gungahlin,1517,0.5926170072511536,0.2999340804218853,0.1074489123269611,-0.29268292682926833
ACT,102,Fenner,38197,Amaroo,2701,0.5908922621251388,0.3013698630136986,0.10773787486116253,-0.2895223991114402
ACT,102,Fenner,38504,Gungahlin FENNER PPVC,15446,0.5941991454098149,0.3278518710345721,0.07794898355561311,-0.2663472743752428
ACT,102,Fenner,47681,Harrison,2434,0.6359901396877568,0.2880032867707477,0.07600657354149548,-0.34798685291700904
ACT,102,Fenner,64584,Woden FENNER PPVC,678,0.6622418879056047,0.26548672566371684,0.07227138643067847,-0.39675516224188784
ACT,102,Fenner,64585,Tuggeranong FENNER PPVC,393,0.7150127226463104,0.21628498727735368,0.06870229007633588,-0.49872773536895676
ACT,102,Fenner,65493,Forde,1636,0.5965770171149144,0.3367970660146699,0.06662591687041565,-0.2597799511002445
ACT,102,Fenner,65505,EAV Fenner PPVC,15,0.7333333333333333,0.13333333333333333,0.13333333333333333,-0.6
ACT,102,Fenner,65695,Bonner,2010,0.6064676616915423,0.28955223880597014,0.10398009950248756,-0.3169154228855722
ACT,102,Fenner,65743,Parkes (Fenner),391,0.8056265984654731,0.1432225063938619,0.05115089514066496,-0.6624040920716112
ACT,102,Fenner,65840,Other Mobile Team 1,66,0.803030303030303,0.10606060606060606,0.09090909090909091,-0.6969696969696969
ACT,102,Fenner,66144,City (Fenner),96,0.5729166666666666,0.25,0.17708333333333334,-0.32291666666666663
ACT,102,Fenner,83848,Hall,461,0.596529284164859,0.2928416485900217,0.11062906724511931,-0.30368763557483724
ACT,102,Fenner,83851,Charnwood East,772,0.6735751295336787,0.20466321243523317,0.12176165803108809,-0.46891191709844554
ACT,102,Fenner,83853,Evatt South,975,0.6994871794871795,0.2153846153846154,0.08512820512820513,-0.48410256410256414
ACT,102,Fenner,83854,Franklin,1310,0.6236641221374046,0.2877862595419847,0.08854961832061069,-0.3358778625954199
ACT,102,Fenner,83855,Holt West,869,0.663981588032221,0.22094361334867663,0.11507479861910241,-0.44303797468354433
ACT,102,Fenner,83857,Nicholls North,1412,0.5956090651558074,0.31586402266288954,0.08852691218130311,-0.2797450424929178
ACT,102,Fenner,83858,Parkes FENNER PPVC,1065,0.7145539906103286,0.2215962441314554,0.06384976525821597,-0.49295774647887325
ACT,102,Fenner,83863,Hall PPVC,0,NA,NA,NA,NA
ACT,102,Fenner,94007,Aranda (Fenner),140,0.8142857142857143,0.12142857142857143,0.06428571428571428,-0.6928571428571428
ACT,102,Fenner,94009,Giralang (Fenner),231,0.6666666666666666,0.18614718614718614,0.1471861471861472,-0.48051948051948046
ACT,102,Fenner,94013,Macquarie (Fenner),232,0.7586206896551724,0.15086206896551724,0.09051724137931035,-0.6077586206896551
ACT,102,Fenner,94016,Weetangera (Fenner),250,0.772,0.168,0.06,-0.604
ACT,102,Fenner,94020,Bruce (Fenner),186,0.6505376344086021,0.2903225806451613,0.05913978494623656,-0.3602150537634408
ACT,102,Fenner,97559,Taylor,1670,0.5868263473053892,0.3287425149700599,0.0844311377245509,-0.2580838323353293
ACT,102,Fenner,98057,Queanbeyan FENNER PPVC,0,NA,NA,NA,NA
ACT,102,Fenner,108525,EAV COVID19 Fenner PPVC,562,0.6868327402135231,0.2508896797153025,0.06227758007117438,-0.4359430604982206
ACT,318,Bean,8761,Chapman,2210,0.583710407239819,0.2687782805429864,0.14751131221719457,-0.3149321266968326
ACT,318,Bean,8763,Chisholm,1288,0.49611801242236025,0.32065217391304346,0.18322981366459629,-0.1754658385093168
ACT,318,Bean,8767,Duffy,1858,0.6264800861141012,0.2217438105489774,0.15177610333692143,-0.4047362755651238
ACT,318,Bean,8768,Fadden,1577,0.5504121750158529,0.2974001268230818,0.1521876981610653,-0.2530120481927711
ACT,318,Bean,8769,Farrer,1950,0.563076923076923,0.2948717948717949,0.14205128205128206,-0.26820512820512815
ACT,318,Bean,8771,Gilmore,1575,0.46793650793650793,0.3295238095238095,0.20253968253968255,-0.13841269841269843
ACT,318,Bean,8772,Gowrie,1491,0.533869885982562,0.28906773977196515,0.17706237424547283,-0.24480214621059687
