2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,96647,Brooklyn Park (Adelaide),36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",10,2.65
SA,179,Adelaide,96647,Brooklyn Park (Adelaide),36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,69,6.86
SA,179,Adelaide,96647,Brooklyn Park (Adelaide),37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,1,0.26
SA,179,Adelaide,96647,Brooklyn Park (Adelaide),36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,15,3.97
SA,179,Adelaide,96647,Brooklyn Park (Adelaide),999,Informal,Informal,999,N,N,,Informal,38,4.75
SA,179,Adelaide,6660,Clearview,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,279,-3.73
SA,179,Adelaide,6660,Clearview,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,416,-2.57
SA,179,Adelaide,6660,Clearview,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,34,-0.32
SA,179,Adelaide,6660,Clearview,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",24,2.45
SA,179,Adelaide,6660,Clearview,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,178,4.98
SA,179,Adelaide,6660,Clearview,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,0,0
SA,179,Adelaide,6660,Clearview,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,48,4.9
SA,179,Adelaide,6660,Clearview,999,Informal,Informal,999,N,N,,Informal,45,-0.19
SA,179,Adelaide,83760,Colonel Light Gardens ADELAIDE PPVC,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,786,-6.91
SA,179,Adelaide,83760,Colonel Light Gardens ADELAIDE PPVC,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,789,5.12
SA,179,Adelaide,83760,Colonel Light Gardens ADELAIDE PPVC,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,32,-1.18
SA,179,Adelaide,83760,Colonel Light Gardens ADELAIDE PPVC,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",23,1.12
SA,179,Adelaide,83760,Colonel Light Gardens ADELAIDE PPVC,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,368,2.32
SA,179,Adelaide,83760,Colonel Light Gardens ADELAIDE PPVC,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,16,0.78
SA,179,Adelaide,83760,Colonel Light Gardens ADELAIDE PPVC,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,41,2
SA,179,Adelaide,83760,Colonel Light Gardens ADELAIDE PPVC,999,Informal,Informal,999,N,N,,Informal,53,-0.25
SA,179,Adelaide,7053,Cowandilla (Adelaide),37049,GRANTHAM,Amy,1,N,N,LP,Liberal,337,-2.91
